,source,target,edge,sentence
247,also  government,net zero net commitment,said,"""He also said that the government had a ""very strong"" net zero commitment."
248,official Glasgow climate advisers,nowhere Glasgow climate summit,warned,"The UK is ""nowhere near"" meeting emissions targets enshrined at the Glasgow climate summit, official advisers have warned."
249,current  UK,disastrous temperature 2100,says,"The Climate Change Committee (CCC) says that, at current rates, the UK will be contributing to a disastrous temperature rise of 2.7C by 2100."
250,in  theory,just  2C.,says,It says this could - in theory - be brought down to just under 2C.
251,other  nations,emissions,happen,"But this could only happen if ministers agree tougher policies, and if other nations slash emissions too."
252,it,climate change targets,insists,The government insists that it will meet all its climate change targets.
253,UK,emissions targets,say,"Scientists say any temperature rise approaching 2C is extremely dangerous, so green groups want the UK to improve its emissions targets."
254,better  it,stronger  policies,says,But the CCC says Britain will set a better example to the world if it keeps the same targets but actually delivers them through stronger policies.
255,government,greener emissions,maintains,"It maintains that the government must nudge people towards greener lifestyles, and must tackle emissions from farming more aggressively."
256,Chris government,current  targets,said,"The committee's chief executive, Chris Stark, said: ""The government is nowhere near achieving current targets."
257,tougher  that,simply  ambition,"""","""If it sets tougher targets that will simply widen the gap between ambition and delivery."
258,it,world,is,What we really need is to strengthen delivery - and show the world that it can be done.
259,group,climate leadership,produced,"""His group has produced a shortlist of ideas to support Britain's climate leadership."
260,They,such  steel,include,"They include producing convincing plans to cut emissions by 78% by 2035; and drawing up agreements to radically reduce so-called ""embodied emissions"" from major polluters such as steel and cement."
261,British  residents,imported  stuff,says,The CCC also says the UK should act to reduce embodied emissions in imported goods - the emissions created to make the stuff British residents buy.
262,intensive  goods,UK,happen through,This could happen through taxes imposed on carbon-intensive goods being imported into the UK.
263,proposed  strategy,fossil  fuels,based on,Another proposed strategy could be based on the final agreement at COP to phase out inefficient subsidies for fossil fuels.
264,they,climate,says,The committee says this gives the government licence to change tax policy so that fossil fuels pay for the damage they cause to the climate.
265,that,climate,says,It says the current tax system is currently clearly inefficient because it fails to bear down on polluting sectors that are damaging the climate.
266,proposal,petrol,lead to,"This proposal could lead to increases in the cost of petrol, gas and aviation."
267,that,some,reviewing,"The government has been reviewing tax options, but it's been reported that senior ministers have warned against policies that could increase the cost of living for some."
268,UK climate experts,emissions policy,are worried,UK climate experts are worried about the Treasury's role in emissions policy.
269,Chancellor,fated Green Homes Grant,blamed for,The Chancellor was widely blamed for failing to support the ill-fated Green Homes Grant.
270,days  he,climate change,omitted,"And, in his Budget just days before the COP, he omitted to mention climate change."
271,slowly director John Sauven,,said,"""The government is moving far too slowly,"" said Greenpeace director John Sauven."
272,UK,temperature 2C,is outrageous,"""For the committee (CCC) to suggest it's OK for the UK to contribute to a temperature rise approaching 2C is outrageous."
273,we,now  1.1C.,'re,We know that a rise of 1.5C isn't safe - we're not even all safe now with a rise of 1.1C.
274,how  we,climate,going,"""What are we going to tell future generations about how we wrecked the climate?"
275,government response,CCC,sought,"""A government response to the CCC has been sought."
276,,Follow Twitter,Roger on,Follow Roger on Twitter.
277,global  agreement,COP26 summit,reached at,A new global agreement - the Glasgow Climate Pact - was reached at the COP26 summit.
278,it,worst climate change,aims,It aims to reduce the worst impacts of climate change - but some leaders and campaigners say it does not go far enough.
279,further greenhouse which,climate change,meet next,The agreement - although not legally binding - will set the global agenda on climate change for the next decade:EmissionsIt was agreed countries will meet next year to pledge further cuts to emissions of carbon dioxide (CO2) - a greenhouse gas which causes climate change.
280,scientists,climate catastrophe,is,"This is to try to keep temperature rises within 1.5C - which scientists say is required to prevent a ""climate catastrophe""."
281,Current  pledges,about  2.4C.,limit global,"Current pledges, if met, will only limit global warming to about 2.4C."
282,explicit COP which,annual CO2 emissions,was,"CoalFor the first time at a COP conference, there was an explicit plan to reduce use of coal - which is responsible for 40% of annual CO2 emissions."
283,However  countries,late  China,agreed,"However, countries only agreed a weaker commitment to ""phase down"" rather than ""phase out"" coal after a late intervention by China and India."
284,poor  countries,clean climate energy,pledged,Developing countriesThe agreement pledged to significantly increase money to help poor countries cope with the effects of climate change and make the switch to clean energy.
285,£  year,2020,missed,There's also the prospect of a trillion dollar a year fund from 2025 - after a previous pledge for richer countries to provide $100bn (£72bn) a year by 2020 was missed.
286,enough  progress,breakthrough,felt,"While some observers say the COP26 agreement represented the ""start of a breakthrough"", some African and Latin American countries felt not enough progress was made."
287,that,artificially  coal,agreed,"Fossil fuel subsidiesWorld leaders agreed to phase-out subsidies that artificially lower the price of coal, oil, or natural gas."
288,firm  dates,,set,"However, no firm dates have been set."
289,biggest CO2 emitters,clean methane energy,pledged,"A flurry of other announcements were made:The world's biggest CO2 emitters, the US and China, pledged to cooperate more over the next decade in areas including methane emissions and the switch to clean energy."
290,so coal this,urgent  action,seen as,China has previously been reluctant to tackle domestic coal emissions - so this was seen as recognising the need for urgent action.
291,Leaders,85  2030,promised,Leaders from more than 100 countries - with about 85% of the world's forests - promised to stop deforestation by 2030.
292,vital  tress,vast  CO2,seen as vital,"This is seen as vital, as tress absorb vast amounts of CO2."
293,Similar  initiatives,deforestation,stopped,"Similar initiatives haven't stopped deforestation, but this one's better funded."
294,how  pledge,,'s unclear,"However, it's unclear how the pledge will be policed."
295,scheme,100 methane countries,agreed by more,A scheme to cut 30% of methane emissions by 2030 was agreed by more than 100 countries.
296,Methane,generated  warming,is,Methane is currently responsible for a third of human-generated warming.
297,they,,emitters,"The big emitters China, Russia and India haven't joined - but it's hoped they will later."
298,Financial  organisations,burning  industries,agreed,"Financial organisations controlling $130tn agreed to back ""clean"" technology, such as renewable energy, and direct finance away from fossil fuel-burning industries."
299,initiative,zero  targets,is,The initiative is an attempt to involve private companies in meeting net zero targets.
300,greater fossil this,little PR exercise,said without,"However, some environmental organisations have said without a greater commitment to ending support for fossil-fuels, this could be little more than a PR exercise."
301,Most  commitments,COP,have,Most commitments made at COP will have to be self-policed.
302,pledges,,making,Only a few countries are making their pledges legally binding.
303,moment countries,2015 Paris Agreement,was,COP26 was the moment countries revisited climate pledges made made under the 2015 Paris Agreement.
304,ago  countries,well  1.5C.,asked,"Six years ago, countries were asked to make changes to keep global warming ""well below"" 2C - and to try to aim for 1.5C."
305,one,Glasgow,stands for,"COP stands for ""Conference of the Parties"", and the one in Glasgow was the 26th annual summit."
306,200  countries,2030,asked for,"Ahead of it, 200 countries were asked for their plans to cut emissions by 2030."
307,they,net  century,is,The goal is to keep cutting emissions until they reach net zero by mid-century.
308,Next COP27 summit,Egypt,is in,Next year's COP27 summit is in Egypt.
309,,Top Getty Images,image from,Top image from Getty Images.
310,,Prof Ed Reading,courtesy of,Climate stripes visualisation courtesy of Prof Ed Hawkins and University of Reading.
311,you,it,have,"Do you have any questions about the forthcoming COP26 global climate conference in Glasgow?In some cases your question will be published, displaying your name, age and location as you provide it, unless you state otherwise."
312,contact details,,published,Your contact details will never be published.
313,you,terms,ensure,Please ensure you have read our terms & conditions and privacy policy.
314,you,mobile BBC YourQuestions@bbc,Use,Use this form to ask your question:If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or send them via email to YourQuestions@bbc.
315,,,uk,co. uk.
316,you,question,include,"Please include your name, age and location with any question you send in."
317,second  negotiations,critical  phase,hit,"As the COP26 climate summit enters its second week, negotiations in Glasgow have hit a critical phase."
318,crucial climate change,control,seen as crucial,The conference is seen as crucial if climate change is to be brought under control.
319,wanted,dozen climate what,asked more,"So we asked more than a dozen climate scientists, negotiators and economists from around the world what they wanted to see agreed this week."
320,more  countries,net  latest,wanted,The scientists all wanted to see more countries commit to net zero by 2050 at the latest.
321,changes,next  decade,said,Yet many said changes in the next decade would be the most impactful.
322,who,University College London,says,"Governments must agree to ""cut emissions by half in the next 10 years"", says Prof Mark Maslin, who researches the impact of humans on the environment at University College London."
323,,net Paris climate 2050,agreement in,The Paris climate agreement in 2015 committed countries to reach net zero between 2050 and 2100.
324,reaching,every food life,is,"But reaching net zero is not easy and means big changes to transport, manufacturing, food supplies, construction and almost every aspect of life."
325,particularly  countries,emissions,think,"And many of the scientists think 2050 might be too late, particularly if countries don't cut emissions drastically before then."
326,who,Imperial College London,says,"""The longer you leave it, the more difficult it is to deliver net zero by 2050,"" says Prof Martin Siegert, who researches changes in glaciers at Imperial College London."
327,2050  dozens,2050  commitment,made,"More than 100 countries have made the 2050 commitment, yet dozens have not."
328,Others,zero Saudi 2060,made,"Others big emitters, such as China and Saudi Arabia, have made a net zero commitment - but by 2060, not 2050."
329,largest  it,net  2070,says,"One of the world's largest emitters, India, says it will get to net zero by 2070 - 20 years later."
330,countries,,said,The scientists said countries must sign up to go quicker.
331,net Prof Siegert,net  2050,says,"""We've got to get international consensus at least in principle around the notion of net zero by 2050,"" says Prof Siegert."
332,least  it,least  Glasgow,be,"""If that can be done at least in principle at Glasgow, it will be a major step forward."
333,also fossil money,instead  solar,scientists,"""The scientists we spoke to said investment in fossil fuels also had to be stopped, with money instead going into renewables like solar and wind."
334,they,week  coal,were,"Last week at COP, there were announcements on cuts to coal and methane, but many scientists say they don't go far enough."
335,other Prof Malte Meinhausen,Melbourne,says,"""There needs to be a blanket stop on any foreign investment that builds and supports coal power plants or any other fossil technology"" says Prof Malte Meinhausen, of the University of Melbourne."
336,how  they,targets,says,"And Dr Natalie Jones, a specialist in existential risk at the University of Cambridge, says countries need to publish robust plans and policies on how they will achieve their targets."
337,she,word,says,"Having plans on paper, or in law, makes it easier to get countries to stick to their word, she says."
338,you,this,provides,"""It provides a kind of hook that you can use to hold countries accountable because you can say, 'well, you've promised this."
339,This,,is,This is your policy statement'.
340,new oil she,new oil moment,added,"""""The UK, for example, has this relatively ambitious emissions reduction targets but it's concurrently trying to open a new oil field at the moment,"" she added."
341,things,,tells,"""The science tells us these things are fundamentally incompatible."
342,how  it,how  much,was,"""One proposal from the scientists was for every country to have a limit on how much it can emit."
343,work,difficult  negotiations,be,"However, what the limits for countries might be, and how any scheme might work in practice, is likely to lead to difficult negotiations."
344,Previous  attempts,agreement,failed,Previous attempts to reach an agreement have failed.
345,where carbon tax consumers,rather  emissions,was,"An alternate solution, suggested by some we spoke to, was a global carbon tax system where consumers and companies, rather than governments, pay a tax on emissions."
346,cleaner  which,world,be,"By making business as usual more expensive, they argue, companies will be more likely to invest in cleaner technologies, which is essential to lowering emissions around the world."
347,Danae Kyriakopoulou,senior London Economics,says,"""A carbon tax needs to happen,"" says Danae Kyriakopoulou a senior policy fellow at the London School of Economics."
348,We,behaviour,have,"""We have to create incentives and create change in behaviour."
349,,idea,is,"""There is support for the idea."
350,head,coordinated World Trade emissions,called for,The head of the World Trade Organization recently called for a coordinated approach to taxes on emissions.
351,who,fossil  homes,passed,"However, higher costs could be passed on to consumers who use fossil fuels to drive their cars or heat their homes."
352,this,costs,thinks,Ms Kyriakopoulou thinks this could be managed by taking the money raised by a tax and redirecting it to reduce costs.
353,country,home example,subsidise,"A country could subsidise home insulation to keep homes warmer and reduce the cost of bills, for example."
354,developing Dr Aditya Bahadur,International Environment,says,"Many people in developing countries, are suffering, says Dr Aditya Bahadur, a researcher at the International Institute for Environment and Development."
355,They,changes,need,"""They need resources to adapt to these changes."
356,They,knowledge,need,They need knowledge and information.
357,They,new  technologies,need new,They need new kinds of technologies.
358,They,protective  infrastructure,need protective,They need protective infrastructure.
359,poorer  this,2023,pledged,"""The developed world had pledged to provide $100bn a year to poorer countries by 2020, but this has slipped to 2023."
360,reaching,commitment,pledging more,"The US is already pledging more money, but the scientists we spoke to said reaching the commitment as soon as possible was important."
361,countries,extreme  weather,says,Dr Bahadur says a focus on adapting to climate change would allow countries to share technologies and advice on how to cope with extreme weather.
362,frequently  that,extreme weather events,give,"For example, a country that experiences droughts or floods frequently could give advice to others that have just started experiencing extreme weather events."
363,Bangladesh,how lot floods,have,"""I have a colleague in Bangladesh who says Bangladesh has a lot teach to Germany about how to deal with floods."
364,knowledge we,knowledge those,is,"""There is optimism for collaboration and knowledge-sharing among those we spoke to."
365,how  countries,ways,given as,The Covid-19 pandemic was given as an example for how countries can find ways to work together.
366,good Ama Browne Klutse,Accra,says,"""I am optimistic that a lot of good things will come out of COP26,"" says Dr Nana Ama Browne Klutse, a scientist at the university of Ghana, in Accra."
367,She,major climate change,contributed to,"She contributed to a major UN report on climate change, published this year."
368,Everyone,pandemic,wanted,"""Everyone wanted to fight this pandemic."
369,whole  world,,became,"The whole world kind of became one."""
370,how  I,climate change,added,"She added: ""This is how I want to see the fight against climate change."
371,world,common  goal,come,"The world must come together to have this fight, with a common goal."""
372,COP26 world leaders,big  commitments,'s,"It's the end of week one at the COP26 climate conference in Glasgow, and world leaders have already made some big commitments."
373,100  leaders,2030,promised,"More than 40 countries have promised to phase out coal by 2050, and another 100 leaders have pledged to end and reverse deforestation by 2030."
374,meanwhile  they,methane emissions,announced,"The US and EU, meanwhile, announced that they would partner up to cut methane emissions."
375,how Sao Paulo summit,climate countries,explain,BBC reporters across the globe - from Shanghai to Sao Paulo - explain how the summit and the climate pledges are going down in their countries.
376,Stephen McDonell,Beijing,writes,"Chinese social media has not been flooded with criticism of the West at COP26, writes Stephen McDonell in Beijing."
377,response,controlled climate summit,muted,The response in China's state-controlled media to the climate summit has been fairly muted.
378,coverage,it,'s,"It's not that ordinary people in China don't know that the conference is taking place, but the coverage of it has definitely been downplayed."
379,choosing,gathering,was,Perhaps Xi Jinping choosing not to attend the gathering was a key factor.
380,major  nobody,leader level,draw,"To report on it might draw attention to the fact that, unlike other major nations, nobody represented China at leader level."
381,Also  media,Communist Party,is of,"Also, China's media is of the Communist Party and for the Communist Party."
382,Mr who,General Party,controlled,"Coverage of anything involving Mr Xi, who is the General Secretary of the Party, is tightly controlled."
383,they,appearance,ignore,Media outlets here would not ignore such a meeting - to which Mr Xi sent a message in lieu of an appearance - unless they had been ordered to.
384,course  conference,various  points,referred to,"Of course the conference has, at various points, been referred to."
385,particularly President Joe he,Chinese  counterpart,criticised,"Nationalist stirrers - like those featured in the Global Times - have criticised US President Joe Biden, particularly after he singled out his Chinese counterpart for not showing up."
386,it,West,subdued,But Chinese social media have not been flooded with criticism of the West at COP26 - it's all been fairly subdued.
387,what,it,Perhaps,"Perhaps, for climate scientists wanting to build a sense of urgency and momentum out of this summit, ignoring what's happening there may be worse than attacking it."
388,first  he,first  all,writes,"It's all about domestic politics, writes Laura Trevelyan in New YorkPresident Biden was determined to use COP26 to showcase American leadership on climate on the world stage - but, as MSNBC opinion columnist Hayes Brown noted, first of all, he had to apologise."
389,bit Paris climate he,first  day,acknowledged on,"Since President Trump pulled the US out of the Paris climate accord, that ""put us sort of behind the eight ball a little bit,' he acknowledged on the summit's first day."
390,global climate party,presidency,has,The US has a see-saw approach to global climate agreements depending on which party has the presidency.
391,agreed,Republican  2025,know,So Americans know that whatever is agreed in Glasgow could be reversed by a Republican president in 2025.
392,global  Moscow,global  US,pointed,"The conservative-leaning Wall St Journal pointed out that President Biden tried to paint Russia and China as ""isolated holdouts"" to a global consensus on reducing emissions but efforts by the US and its allies failed to get Moscow and Beijing to budge."
393,$ 500bn climate that,attention,'s,"At home it's the position of Democratic Senator Joe Manchin, a crucial vote when it comes to getting a $500bn climate plan through Congress, that's getting attention."
394,climate pledge risks,holdout senator,is from,"Mr Manchin is from a coal producing state, West Virginia, and when he said he had lingering concerns about the spending package, headlines declared: ""Biden's climate pledge risks being undermined by holdout senator."
395,Steve Rosenberg,Moscow,writes,"""There is no sense of a climate emergency in Russia, writes Steve Rosenberg in Moscow."
396,,,Go,Go compare.
397,,fragile newspaper planet,plea,A British newspaper headline this week - Queen's plea to save our 'fragile' planet.
398,really  we,especially  Russia,concluded,"Russia's most popular (pro-Kremlin) daily - Should we really be scared of global warming?It concluded we shouldn't, claiming there are ""positive consequences of global warming"" (especially for Russia): lower heating bills, more accessible shipping routes."
399,,here climate emergency,'s,There's no sense here of a climate emergency.
400,Kremlin,,denies,Not that the Kremlin denies there's a problem.
401,climate,faster world average,points,It points out that the climate in Russia is warming 2.5 times faster than the world average.
402,It,big  Glasgow,sent,It sent a big delegation to Glasgow.
403,,,president,"No president, though."
404,Vladimir Putin,video screen,appeared by,Vladimir Putin appeared by video screen only.
405,Still  Russia,carbon  2060,promises,"Still, Russia promises to be carbon neutral by 2060."
406,It,land 2030,signed,"It signed the Glasgow declaration on forests and land use, pledging an end to deforestation by 2030."
407,it,% methane 2030,sign,But it wouldn't sign up to cutting methane emissions 30% by 2030.
408,Russia,longer greener energy,is,"Russia is a fossil fuel superpower and wants a ""smooth"" (longer) transition to greener energy."
409,Vasily Yablokov Vasily Russia,me,tells,"""Everybody wants Russia to do more to achieve carbon neutrality as soon as possible,"" Vasily Yablokov of Greenpeace Russia tells me."
410,I,high  country,accepts,"""I'm happy Russia now accepts climate change is happening, but I see no high ambition from our country."
411,Russian  government,planet,looks,It looks like the Russian government's from another planet.
412,economic Rajini Vaidyanathan,Delhi,writes,"""India's 2070 net zero pledge has won Narendra Modi applause in a growing nation balancing economic and environmental needs, writes Rajini Vaidyanathan in Delhi."
413,big COP COP,big  masses,been,"Although India has been a big talking point among policy makers in the weeks leading up to the COP summit, COP hasn't been such a big topic for India's masses."
414,who,finally  note,took,"But on Monday, when Prime Minister Modi announced that the country would commit to net zero by 2070, many who weren't paying much attention to goings on in Glasgow finally took note."
415,growing  which,economic  needs,broadcast on prime,"Mr Modi's address was broadcast on prime time here, and while some around the world are frustrated India is signing up to meet these goals two decades later than the global 2050 target, here the pledges were seen as pragmatic in a growing country which needs to balance both economic and environmental needs."
416,when  West,long  growth,viewed by many,They were also viewed by many as a reminder that the PM won't succumb to pressure when the West has long reaped the benefits of growth while polluting.
417,5 world many,5 world that,is responsible,"As Mr Modi reminded the summit, ""India, which is 17% of the world population, is responsible for less than 5% of emissions"" - a line that many here applauded."
418,Post news website,bold  West,called,"The First Post news website called the 2070 pledge a ""bold decision... without capitulating to the uncalled for bullying by the West""."
419,shorter term goals,carbon 2030,are,And climate experts here say India's four shorter-term goals - to scale up renewables and reduce carbon emissions by 2030 - are also significant.
420,part,Shaimaa Sydney,writes,Australia's part in the Cop26 summit is overshadowed by politics writes Shaimaa Khalil in Sydney.
421,how Scott he,net  coal,was,Part of Scott Morrison's job at Cop26 was to explain to the world how he was going to deliver on net zero by 2050 without phasing out coal.
422,prime trip,French President Emmanuel submarines,overshadowed by,"But the prime minister's trip to Glasgow was overshadowed by a row with French President Emmanuel Macron - and not about the climate, about submarines."
423,$ 37bn which,controversial  circumstances,accused,"On Sunday in Glasgow, Mr Macron accused Mr Morrison of lying to him about a $37bn deal with France which collapsed under controversial circumstances."
424,nation,sledging,replied by,"Mr Morrison replied by saying his nation would not accept ""sledging"" or ""slurs""."
425,here Mr row,standing,been about,"And so this past week, rather than discussing the pressing climate debate and what Australia had achieved at COP26, most of the commentary here has been about Mr Morrison's character and whether the row will affect his standing domestically."
426,defining journalist Hugh Riminton,Guardian,wrote,"""Slipperiness is Scott Morrison's defining characteristic,"" wrote journalist Hugh Riminton in the Guardian."
427,he,openly  France,was,"""And it was never more on show than this week as he sold ""the Australian Way"" on climate to a sceptical crowd in Glasgow, while openly being branded a liar by France."
428,Australia,few climate Glasgow,make,"""Australia did make a few climate headlines in Glasgow."
429,it,new coal home,snubbed,"Along with China, Russia, India and Iran, it snubbed the international pledge to reduce methane emissions by 30% by 2030, and refused to sign up to phasing out coal-fired power and stop investing in new coal plants at home and abroad."
430,,ABC News,verdict from,The verdict from Australia's ABC News?
431,,messy prime minister,week,"A ""terribly messy week"" for the prime minister."
432,most Katy Watson,São Paulo,writes,"The climate conference in Scotland feels a long way from the reality of most Brazilians, writes Katy Watson in São Paulo."
433,Much,immense  rainforest,made of,Much is made of Brazil's contribution to climate change internationally because of its immense rainforest.
434,even  it,fact,feels,But with all that President Jair Bolsonaro says and does - and the fact he didn't even attend COP26 - it feels a bit different over here.
435,same  it,as climate Scotland,is in,"Yes, the Amazon is in the same country, but it's a long way from big cities like São Paulo and Rio, and probably feels just as distant as a climate conference in Scotland."
436,Brazilians,,'s,It's not that Brazilians don't care.
437,Brazilian  people,politics,says,"""People do want to participate and they have lots to contribute,"" says Silvia Cervellini, co-founder of Delibera, a Brazilian organisation helping people get involved in politics."
438,political  crisis,Brazil,been,"But since the pandemic, there's been a rise in poverty and the political and economic crisis is casting a shadow over Brazil."
439,People,immediate  concerns,have more,People have more immediate concerns.
440,daily Ms Cervellini,daily  life,says,"""What we need to do is enable people to make the connection with daily life,"" Ms Cervellini says."
441,Maria de Sousa Botelho,,agrees with,And that's something that dressmaker Izildete Maria de Sousa Botelho agrees with.
442,67-year  old,Global Citizen COP,selected,The 67-year-old from Minas Gerais state was selected to be part of the Global Citizen Assembly for COP.
443,she,what,says,"""If we are cutting down trees, we need to rethink what we eat,"" she says."
444,ecological  we,this,'s,"""We outsource the responsibility to authorities and politicians and forget that it's individual actions, it's the lack of ecological awareness that we need to work on that is causing all of this."
445,correspondent Siavash Ardalan,climate commitments,writes,"""Many in Iran believe that it is unfair to expect the country to make any climate commitments while the sanctions remain, writes BBC Persian Service correspondent Siavash Ardalan."
446,Iran,global greenhouse warming,is among,Iran is among the top 10 emitters of greenhouse gases and suffers extensively from the effects of global warming.
447,country,severe water shortages,seen,"The country has seen one its worst droughts in decades this year, resulting in severe water shortages and electricity blackouts."
448,US sanctions,such  problems,exacerbated such,US sanctions and unsustainable domestic policies have only exacerbated such problems.
449,us,emissions,said,"One member of Iran's delegation to COP26 has said that if the sanctions were lifted, ""there would be no obstacle for us to reduce our emissions""."
450,climate change COP26,oil,put,"However, conservatives affiliated to President Ebrahim Raisi's government have put out statements that range from climate change denial to assertions COP26 is seeking to deprive Iran of its oil and gas."
451,critical  views,conservative  outlets,made,"Although the summit has been largely ignored by Iranian media, such critical views have made their way to some pro-government conservative outlets."
452,minded  newspapers,key climate COP26,echoed,A few reform-minded newspapers have meanwhile echoed the dire warnings from UN officials and climate scientists while avoiding any critique of the government's low-key approach to COP26.
453,Public  opinion,,divided,Public opinion is divided.
454,sanctions,place,believe,Many believe that it is unfair to expect any commitments from Iran while the sanctions remain in place.
455,climate change,only government incompetence,argue,Others argue that climate change has only served to downplay government incompetence.
456,front Nduka Orjinmo,Abuja,writes,"COP26 is not front page news in Nigeria, writes Nduka Orjinmo in Abuja."
457,Nigeria,zero oil 2060,promised,"Nigeria, Africa's largest oil exporter, has promised zero emissions by 2060."
458,it,front page Nigeria,sent,The big media houses have sent reporters to Glasgow but it is not front page news in Nigeria.
459,one,enough  evidence,said,"On Wednesday, President Muhammadu Buhari said no-one in Nigeria needed ""persuading of the need for urgent action on the environment,"" pointing to desertification, floods and erosion in the country as ""enough evidence""."
460,he,major revenue earner,wants,"But he wants access to climate finance - some of the $100bn annually available to developing economies - and foreign investment in Nigeria's gas sector to help the country wean itself off its major revenue earner, oil."
461,president,different gasoline reality,struck,"The president struck the right notes for those in Glasgow but back home people, in homes powered by gasoline generators imported from China, live in a different reality."
462,burning  few,climate,experienced,"No-one here has experienced a stable power supply in their lifetime and if it takes burning coal to achieve that, few will reject it for the sake of the climate."
463,Climate activists,little oil government,is little,"Climate activists, especially in the oil-producing Niger Delta region, have long sounded the alarm about the impact of oil drilling and gas flaring but there is little sign of any action from the government and the international oil firms."
464,Correspondent Sameer Hashmi,oil production,writes,"Even as Saudi Arabia seeks to achieve net zero by 2060, the country is boosting its oil production, writes Middle East Business Correspondent Sameer Hashmi."
465,largest oil exporter,definite carbon emissions,resisted,"For a long time, the world's largest oil exporter, Saudi Arabia, had resisted calls from Western countries to set a definite target to reduce carbon emissions."
466,Mohammed bin country,zero carbon 2060,announced,"Then last month, the crown prince, Mohammed bin Salman, announced that the country had set a goal of reaching net zero carbon emissions by 2060."
467,they,global oil production demand,boosting,"But, even as the Saudis seek to achieve that objective, they are boosting their oil production capacity to cater for global demand."
468,it,hydrocarbons,said,"The country's top officials have repeatedly said tackling climate change is necessary, but that it cannot be done by ""demonising"" hydrocarbons."
469,world,fossil  fuels,believes,The energy minister believes the world needs both fossil fuels as well as renewables.
470,I,new crown industries,supported,Most officials I spoke to there supported the crown prince's goal and his efforts to promote economic diversification by investing in new industries.
471,response,environmental  activists,was,The response by environmental activists though was more muted.
472,World leaders,2030,pledged,World leaders have pledged to end and reverse deforestation by 2030.
473,15  progress,15  years,hit,But in Brazil's Amazon rainforest it has hit its highest level in over 15 years - and progress elsewhere is challenging.
474,harmful  that,otherwise  atmosphere,is in,"Some 60% of the Amazon rainforest is in Brazil, and it plays a vital role in absorbing harmful CO2 that would otherwise escape into the atmosphere."
475,steadily  deforestation,again Space Research Institute,risen,"After falling steadily since 2004, deforestation in Brazil's Amazon has risen again, according to the country's National Space Research Institute (INPE)."
476,"13,235 sq km","5,110 sq forest",found,"Its latest report found that deforestation increased by 22% in the last year, with 13,235 sq km (5,110 sq miles) of forest lost."
477,president,such Jair Amazon,criticised for,"Brazil's president, Jair Bolsonaro, has been criticised for ""anti-environment"" policies, such as encouraging agriculture and mining in the Amazon."
478,who,environmental  law,cut,He has cut the funding for the government agencies that are responsible for prosecuting farmers and loggers who break environmental law.
479,Fines,20  2020,fell by,Fines for illegal logging fell by 20% in 2020.
480,94  habitat,Brazil,are,"Exact figures are not available, but recent studies suggest as much as 94% of deforestation and habitat destruction in Brazil could be illegal."
481,Brazil,neighbouring  Bolivia,contribute,"Brazil is not the only country responsible for the deforestation of the Amazon - neighbouring countries, including Bolivia, also contribute."
482,year  Bolivia,fourth  world,lost,"Last year, Bolivia lost almost 300,000 hectares of tropical forest - the fourth-highest in the world."
483,Congo forest basin,largest  world,is,The Congo forest basin is the second-largest rainforest in the world.
484,than  half,Democratic Congo,lies within,More than half of it lies within the Democratic Republic of Congo.
485,Environmental campaign group Greenpeace,large  deforestation,says illegal,Environmental campaign group Greenpeace says illegal logging - by both large and small companies - is leading to deforestation.
486,illegal  it,still  country,smuggled outside,"Although the US and EU have banned importing illegal timber, it still gets smuggled outside the country."
487,Other  threats,small scale subsistence charcoal,include small,"Other threats include small-scale subsistence agriculture, clearing for charcoal and fuel, urban expansion and mining."
488,annual  loss,million Global Forest Watch,been,"In the past five years, the annual loss of primary forest has been nearly half a million hectares, according to Global Forest Watch."
489,President Felix Tshisekedi,1.4 million 1.4 corruption,ordered,President Felix Tshisekedi last month ordered an audit of some of the leases allocated to harvest public forests - including one for more than 1.4 million hectares - amid allegations of corruption.
490,move,campaigners,welcomed by,The move was welcomed by campaigners.
491,new logging it,new logging operations,announced,"But earlier this year, the government also announced a plan to lift a ban dating back to 2002 on new logging operations - although it has not yet been implemented."
492,that,8 forest %,says,Greenpeace says that would contradict commitments made earlier this year to protect the forest and increase forest cover by 8%.
493,Indonesia,two forest decades,been among,Indonesia has been among the world's top five countries for forest loss for the past two decades.
494,Global Forest country,primary 9.75 2002,lost,"According to data from Global Forest Watch, the country lost 9.75 million hectares of primary forest between 2002 and 2020."
495,President Joko Widodo,clearing oil palm plantations,pledged in,President Joko Widodo pledged in 2014 to crack down on deforestation by tackling the main contributor - clearing land for oil palm plantations.
496,80  %,official  data,set for,"Up to 80% of fires were set for this purpose, according to official data."
497,"929,000  hectares",steady  deforestation,disappeared,"In 2016, a record 929,000 hectares of forest disappeared, but there's been a steady decrease in the rate of deforestation since then."
498,annual  loss,"270,000  hectares",was,"By 2020, the annual loss was down to 270,000 hectares."
499,President Widodo,primary 66 forest,issued,"In 2019, President Widodo issued a three-year moratorium on new forest clearance, covering about 66 million hectares of primary forest and peatland."
500,This,,extended,This was extended indefinitely this year.
501,global carbon cutting,big climate change,absorb vast,Forests absorb vast amounts of carbon dioxide (CO2) - a major contributor to global warming - so cutting down trees can have a big impact on climate change.
502,420 million 420 hectares,one billion one 1990,says,The UN says 420 million hectares (one billion acres) of forest have been lost since 1990.
503,Agriculture,main  this,is,Agriculture is the main reason for this.
