,subject,relation,object,sentence,subject_type,object_type
184,humans,experience,catastrophic warming,"Left unchecked, humans and nature will experience catastrophic warming, with worsening droughts, greater sea level rise and mass extinction of species.",NOUN_CHUNK,NOUN_CHUNK
185,Climate change,has,different effects,Climate change has different effects in different areas of the world.,NOUN_CHUNK,NOUN_CHUNK
186,Multiple independent teams,reached,result,Multiple independent teams of scientists have reached the same result - a spike in temperatures coinciding with the onset of the industrial era.,NOUN_CHUNK,NOUN_CHUNK
187,Scientists,reconstruct,temperature fluctuations,Scientists can reconstruct temperature fluctuations even further back in time.,NOUN_CHUNK,NOUN_CHUNK
188,Tree rings,record,signature,"Tree rings, ice cores, lake sediments and corals all record a signature of the past climate.",NOUN_CHUNK,NOUN_CHUNK
189,models,explain,increases,Only when human factors are introduced can the models explain increases in temperature.,NOUN_CHUNK,NOUN_CHUNK
190,groups,cast,doubt,"For many years, groups of so-called climate ""sceptics"" have cast doubt on the scientific basis of global warming.",NOUN_CHUNK,NOUN_CHUNK
191,bowl,produce,climate warming greenhouse gases,Does a bowl of rice produce more climate warming greenhouse gases than a plate of chips?,NOUN_CHUNK,NOUN_CHUNK
192,food,is,huge differences,"Knowing how and where your food is produced is also important, as the same food can have huge differences in environmental impact.",NOUN_CHUNK,NOUN_CHUNK
193,Chocolate,produce,relatively high greenhouse gases,Chocolate and coffee originating from deforested rainforest produce relatively high greenhouse gases.,NOUN_CHUNK,NOUN_CHUNK
194,climate friendly meat options,produce,greenhouse gases,"Even the most climate-friendly meat options still produce more greenhouse gases than vegetarian protein sources, like beans or nuts.",NOUN_CHUNK,NOUN_CHUNK
195,Joseph Poore,assessed,effect,"University of Oxford researcher Joseph Poore, and Thomas Nemecek of the Agroecology and Environment Research Division in Zurich, Switzerland assessed the effect of these foods on climate-warming greenhouse gas emissions and the amount of land and fresh water used across all stages of University of Oxford researcher Joseph Poore, and Thomas Nemecek of the Agroecology and Environment Research Division in Zurich, Switzerland production, including processing, packaging, and transportation, but excluding the cooking process.",PERSON,NOUN_CHUNK
196,President Putin,dismissed,risks,Until recently President Putin dismissed the risks posed by rising temperatures.,PERSON,NOUN_CHUNK
197,Country,But,steel,"But if Country A then imports steel from Country B,",NOUN_CHUNK,NOUN_CHUNK
198,Plants,absorb,up to a third,Plants and trees absorb up to a third of our CO2 emissions from the atmosphere each year.,NOUN_CHUNK,CARDINAL
199,urban areas,recording,massive reductions,"In a short space of time, urban areas were recording massive reductions in a range of pollutants associated with internal combustion engines.",NOUN_CHUNK,NOUN_CHUNK
200,Data,shows,marked reductions,Data collected by the UK's National Centre for Atmospheric Science shows marked reductions in nitrogen dioxide (NO2) and in particulate matter (PM2.5) across 10 cities.,NOUN_CHUNK,NOUN_CHUNK
201,Lake Oroville,plays,key role,Lake Oroville plays a key role in northern California's complex water delivery system.,GPE,NOUN_CHUNK
202,river systems,replenished by,reservoir,"Traditionally, Lake Oroville was replenished by meltwater from a thawing snowpack in surrounding mountains, whose river systems fed the reservoir.",NOUN_CHUNK,NOUN_CHUNK
203,reservoir,reached,capacity,"the reservoir had reached capacity in February, rather than the middle of the year, as usually happened.",NOUN_CHUNK,NOUN_CHUNK
204,local traders,noticed,visible drop,"As news of the low waters spread, local traders noticed a visible drop in tourist numbers.",NOUN_CHUNK,NOUN_CHUNK
205,Areas,include,water supplies,"Areas of concern include water supplies, health, food security, droughts and floods, biodiversity.",NOUN_CHUNK,NOUN_CHUNK
